row_id,sample_id,path,folder,origin,family,split,sample_label,label,operator,edge_cases,line,handle,resource_call,resource_type,scope,class_name,verdict,exposure,leaking_path_fraction,escapes_return,escapes_self_attr,escapes_container,escapes_call_arg,callee_closes_param,close_present_but_unguarded,in_loop,raising_call_between,reassigned_before_close,resource_type_weight,is_test_or_script_file,is_async_resource,callee_name_suggests_close,escape_disposed_downstream,escape_recipient_unknown,container_drained_in_module
E-0001#7:handle,E-0001,dataset/real_code/escapes/return_caller_closes/return_caller_closes__file_text__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,7,handle,open,FILE,_acquire_file_text,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0002#7:handle,E-0002,dataset/real_code/escapes/return_caller_closes/return_caller_closes__file_text__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,7,handle,open,FILE,_acquire_file_text,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0003#8:handle,E-0003,dataset/real_code/escapes/return_caller_closes/return_caller_closes__file_gzip__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,handle,gzip.open,FILE,_acquire_file_gzip,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0004#8:handle,E-0004,dataset/real_code/escapes/return_caller_closes/return_caller_closes__file_gzip__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,handle,gzip.open,FILE,_acquire_file_gzip,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0005#8:handle,E-0005,dataset/real_code/escapes/return_caller_closes/return_caller_closes__file_temp__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,handle,tempfile.NamedTemporaryFile,FILE,_acquire_file_temp,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0006#8:handle,E-0006,dataset/real_code/escapes/return_caller_closes/return_caller_closes__file_temp__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,handle,tempfile.NamedTemporaryFile,FILE,_acquire_file_temp,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0007#8:connection,E-0007,dataset/real_code/escapes/return_caller_closes/return_caller_closes__socket_raw__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,connection,socket.socket,SOCKET,_acquire_socket_raw,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0008#8:connection,E-0008,dataset/real_code/escapes/return_caller_closes/return_caller_closes__socket_raw__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,connection,socket.socket,SOCKET,_acquire_socket_raw,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0009#8:connection,E-0009,dataset/real_code/escapes/return_caller_closes/return_caller_closes__socket_connect__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,connection,socket.create_connection,SOCKET,_acquire_socket_connect,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0010#8:connection,E-0010,dataset/real_code/escapes/return_caller_closes/return_caller_closes__socket_connect__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,connection,socket.create_connection,SOCKET,_acquire_socket_connect,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0011#8:connection,E-0011,dataset/real_code/escapes/return_caller_closes/return_caller_closes__http_conn__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,connection,http.client.HTTPSConnection,SOCKET,_acquire_http_conn,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0012#8:connection,E-0012,dataset/real_code/escapes/return_caller_closes/return_caller_closes__http_conn__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,connection,http.client.HTTPSConnection,SOCKET,_acquire_http_conn,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0013#8:session,E-0013,dataset/real_code/escapes/return_caller_closes/return_caller_closes__session__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,session,requests.Session,SESSION,_acquire_session,,UNKNOWN,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0
E-0014#8:session,E-0014,dataset/real_code/escapes/return_caller_closes/return_caller_closes__session__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,session,requests.Session,SESSION,_acquire_session,,UNKNOWN,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0
E-0015#8:connection,E-0015,dataset/real_code/escapes/return_caller_closes/return_caller_closes__sqlite__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,connection,sqlite3.connect,DB,_acquire_sqlite,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0016#8:connection,E-0016,dataset/real_code/escapes/return_caller_closes/return_caller_closes__sqlite__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,connection,sqlite3.connect,DB,_acquire_sqlite,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0017#8:connection,E-0017,dataset/real_code/escapes/return_caller_closes/return_caller_closes__postgres__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,connection,psycopg2.connect,DB,_acquire_postgres,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0018#8:connection,E-0018,dataset/real_code/escapes/return_caller_closes/return_caller_closes__postgres__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,connection,psycopg2.connect,DB,_acquire_postgres,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0019#8:client,E-0019,dataset/real_code/escapes/return_caller_closes/return_caller_closes__redis_client__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,client,redis.Redis,DB,_acquire_redis_client,,UNKNOWN,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0
E-0020#8:client,E-0020,dataset/real_code/escapes/return_caller_closes/return_caller_closes__redis_client__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,client,redis.Redis,DB,_acquire_redis_client,,UNKNOWN,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0
E-0021#8:client,E-0021,dataset/real_code/escapes/return_caller_closes/return_caller_closes__mongo__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,client,pymongo.MongoClient,DB,_acquire_mongo,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0022#8:client,E-0022,dataset/real_code/escapes/return_caller_closes/return_caller_closes__mongo__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,client,pymongo.MongoClient,DB,_acquire_mongo,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0023#8:archive,E-0023,dataset/real_code/escapes/return_caller_closes/return_caller_closes__file_zip__ingest.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,archive,zipfile.ZipFile,FILE,_acquire_file_zip,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0024#8:archive,E-0024,dataset/real_code/escapes/return_caller_closes/return_caller_closes__file_zip__billing.py,real_code,escapes,escape:return_caller_closes,test,0,0,,EC-OWN-03|EC-INTER-02,8,archive,zipfile.ZipFile,FILE,_acquire_file_zip,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0025#5:handle,E-0025,dataset/real_code/escapes/return_caller_drops/return_caller_drops__file_text__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,5,handle,open,FILE,_acquire_file_text,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0026#5:handle,E-0026,dataset/real_code/escapes/return_caller_drops/return_caller_drops__file_text__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,5,handle,open,FILE,_acquire_file_text,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0027#7:handle,E-0027,dataset/real_code/escapes/return_caller_drops/return_caller_drops__file_gzip__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,handle,gzip.open,FILE,_acquire_file_gzip,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0028#7:handle,E-0028,dataset/real_code/escapes/return_caller_drops/return_caller_drops__file_gzip__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,handle,gzip.open,FILE,_acquire_file_gzip,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0029#7:handle,E-0029,dataset/real_code/escapes/return_caller_drops/return_caller_drops__file_temp__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,handle,tempfile.NamedTemporaryFile,FILE,_acquire_file_temp,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0030#7:handle,E-0030,dataset/real_code/escapes/return_caller_drops/return_caller_drops__file_temp__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,handle,tempfile.NamedTemporaryFile,FILE,_acquire_file_temp,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0031#7:connection,E-0031,dataset/real_code/escapes/return_caller_drops/return_caller_drops__socket_raw__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,connection,socket.socket,SOCKET,_acquire_socket_raw,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0032#7:connection,E-0032,dataset/real_code/escapes/return_caller_drops/return_caller_drops__socket_raw__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,connection,socket.socket,SOCKET,_acquire_socket_raw,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0033#7:connection,E-0033,dataset/real_code/escapes/return_caller_drops/return_caller_drops__socket_connect__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,connection,socket.create_connection,SOCKET,_acquire_socket_connect,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0034#7:connection,E-0034,dataset/real_code/escapes/return_caller_drops/return_caller_drops__socket_connect__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,connection,socket.create_connection,SOCKET,_acquire_socket_connect,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0035#7:connection,E-0035,dataset/real_code/escapes/return_caller_drops/return_caller_drops__http_conn__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,connection,http.client.HTTPSConnection,SOCKET,_acquire_http_conn,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0036#7:connection,E-0036,dataset/real_code/escapes/return_caller_drops/return_caller_drops__http_conn__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,connection,http.client.HTTPSConnection,SOCKET,_acquire_http_conn,,UNKNOWN,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0037#7:session,E-0037,dataset/real_code/escapes/return_caller_drops/return_caller_drops__session__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,session,requests.Session,SESSION,_acquire_session,,UNKNOWN,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
E-0038#7:session,E-0038,dataset/real_code/escapes/return_caller_drops/return_caller_drops__session__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,session,requests.Session,SESSION,_acquire_session,,UNKNOWN,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
E-0039#7:connection,E-0039,dataset/real_code/escapes/return_caller_drops/return_caller_drops__sqlite__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,connection,sqlite3.connect,DB,_acquire_sqlite,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0040#7:connection,E-0040,dataset/real_code/escapes/return_caller_drops/return_caller_drops__sqlite__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,connection,sqlite3.connect,DB,_acquire_sqlite,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0041#7:connection,E-0041,dataset/real_code/escapes/return_caller_drops/return_caller_drops__postgres__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,connection,psycopg2.connect,DB,_acquire_postgres,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0042#7:connection,E-0042,dataset/real_code/escapes/return_caller_drops/return_caller_drops__postgres__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,connection,psycopg2.connect,DB,_acquire_postgres,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0043#7:client,E-0043,dataset/real_code/escapes/return_caller_drops/return_caller_drops__redis_client__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,client,redis.Redis,DB,_acquire_redis_client,,UNKNOWN,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
E-0044#7:client,E-0044,dataset/real_code/escapes/return_caller_drops/return_caller_drops__redis_client__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,client,redis.Redis,DB,_acquire_redis_client,,UNKNOWN,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
E-0045#7:client,E-0045,dataset/real_code/escapes/return_caller_drops/return_caller_drops__mongo__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,client,pymongo.MongoClient,DB,_acquire_mongo,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0046#7:client,E-0046,dataset/real_code/escapes/return_caller_drops/return_caller_drops__mongo__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,client,pymongo.MongoClient,DB,_acquire_mongo,,UNKNOWN,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0047#7:archive,E-0047,dataset/real_code/escapes/return_caller_drops/return_caller_drops__file_zip__ingest.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,archive,zipfile.ZipFile,FILE,_acquire_file_zip,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0048#7:archive,E-0048,dataset/real_code/escapes/return_caller_drops/return_caller_drops__file_zip__billing.py,real_code,escapes,escape:return_caller_drops,val,1,1,,EC-OWN-03|EC-INTER-03,7,archive,zipfile.ZipFile,FILE,_acquire_file_zip,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E-0049#5:handle,E-0049,dataset/real_code/escapes/return_owned_by_class/return_owned_by_class__file_text__ingest.py,real_code,escapes,escape:return_owned_by_class,train,0,0,,EC-OWN-01|EC-OWN-03,5,handle,open,FILE,_acquire_file_text,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
E-0050#5:handle,E-0050,dataset/real_code/escapes/return_owned_by_class/return_owned_by_class__file_text__billing.py,real_code,escapes,escape:return_owned_by_class,train,0,0,,EC-OWN-01|EC-OWN-03,5,handle,open,FILE,_acquire_file_text,,UNKNOWN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
